
# list of issues fixed with this release (previous release was 3.3.1)

# commit             date                 issue      message

  61e0e5e288    2021-05-05T12:31:05+02:00    5630    bugfix_uiadm: fix #5630 Error when add custom menu with name with spaces
  0e41298305    2021-05-03T10:22:14+02:00    5106    bugfix_core: improved bulk permission processing, fix #5106
  4bc0e6332a    2021-05-03T11:00:13+02:00    5610    bugfix_uimgmt: fix #5610 closed activity detail break ui
  c25298b430    2021-04-30T15:47:52+02:00    5596    bugfix_uimgt: move setHtml before add to fix #5596
  e7f2376d7c    2021-04-29T14:49:37+02:00    5584    bugfix_uiadm: fix #5584 import domain tamplate validation fail
  d304b36bb7    2021-04-29T14:22:58+02:00    5579    bugfix_uimgt: update language cookie before user preferences save to fix #5579
  39e2e1773c    2021-04-29T12:43:03+02:00    5581    bugfix_core: fix #5581, fixed issue when processing inactive processes with invalid wf provider
  84bfb67ef9    2021-04-28T16:44:41+02:00    5573    bugfix_uiadm: fix #5573 view from filter - disable edit card grid in relation tab
  e3796f6325    2021-04-27T16:23:48+02:00    5561    bugfix_uiadm: add check on custom components loading to get js files only in management module to fix #5561
  c6bafdfaf6    2021-04-27T16:12:06+02:00    5557    bugfix_uimgt: update base filter behaviour for date columns in store to fix #5557
  af594e1773    2021-04-27T14:47:45+02:00    5565    bufix_uimgt: fix #5565 adjusting configurations for reference auto value
  665fa8ab91    2021-04-27T12:24:55+02:00    5559    fix_uiadm: fix #5559 ui admin: handle read only user access
  a6ae596e90    2021-04-27T10:35:17+02:00    5560    bugfix_uiadm: fix #5560 join views - handle multiple same domains
  84cb11cdae    2021-04-27T10:34:03+02:00    5371    perf_core: Fix #5371 restoring db now unpacks only once compressed dumps
  0f015408df    2021-04-27T10:24:06+02:00    4730    fix_core: improved processing of tenant (user) admin, fix #4730
  f0a5d4a505    2021-04-26T17:43:46+02:00    5554    Fix #5554: scheduler error
  9eabff31d6    2021-04-26T17:14:25+02:00    5553    bugfix_uimgt: fix #5553 setted hiddable false the action columns in emails grid
  a5a9824ece    2021-04-26T16:50:58+02:00    5555    Fix #5555. Overlay behavour restored #5006
  69d766b32a    2021-04-26T15:14:10+02:00    4375    bugfix_core: fix #4375, handle cross tenant references (write access)
  09e10dbc4f    2021-04-26T12:52:15+02:00    4375    bugfix_core: fix #4375, handle cross tenant references (read access)
  7ba90bfe59    2021-04-26T11:29:54+02:00    5484    Fix #5484: added calculateHeight on grid show instead of on fieldsetShow
  6dba3ceba9    2021-04-26T09:46:18+02:00    5534    bugfix_core: Fix #5534 removed double quotes in widget label for all translations get
  c74db30dab    2021-04-23T23:00:38+02:00    4377    fix #4377 : always renew activity instance id after activity is completed
  ffd28bbe8c    2021-04-23T17:30:29+02:00    5541    fix #5541 sending the id of the selected cards in filter
  c95db270b4    2021-04-23T17:23:30+02:00    5546    fix #5546 admin - ui crash on compulsive domain change
  2c9b22a8f0    2021-04-23T17:21:33+02:00    5535    fix #5535 translation - default value of process activity is not set
  fdbba2eb43    2021-04-23T15:07:54+02:00    5543    fix #5543 Process header too big
  1b4cf65de7    2021-04-23T12:13:18+02:00    5530    fix #5530 : fix issue with modular login config patch
  05a9d1dba3    2021-04-23T12:01:17+02:00    5539    Fix #5539 add translations description for Category and FileName fields
  085473299f    2021-04-23T11:43:51+02:00    5537    Fix #5537
  45ae44f943    2021-04-23T11:02:28+02:00    5536    Fix #5536 get object type name description by object type
